"Member","Band","Role"
"Benny Andersson","ABBA","ABBA - Keyboard (1971-82)"
"Agnetha Faltskog","ABBA","ABBA - Vocals (1971-82)"
"Anni-Frid Lyngstad","ABBA","ABBA - Vocals (1971-82)"
"Bjorn Ulvaeus","ABBA","ABBA - Guitar (1971-82)"
"Brian Johnson","AC/DC","AC/DC - Vocals (1980-)"
"Phil Rudd","AC/DC","AC/DC - Drums (1975-83, 94-)"
"Bon Scott","AC/DC","AC/DC - Vocals (1974-80)"
"Cliff Williams","AC/DC","AC/DC - Bass (1977-)"
"Angus Young","AC/DC","AC/DC - Guitar (1973-)"
"Malcolm Young","AC/DC","AC/DC - Guitar (1973-)"
"Tom Hamilton","Aerosmith","Aerosmith - Bass (1970-)"
"Joey Kramer","Aerosmith","Aerosmith - Drums (1970-)"
"Joe Perry","Aerosmith","Aerosmith - Guitar (1970-79, 84-)"
"Steven Tyler","Aerosmith","Aerosmith - Vocals (1970-)"
"Brad Whitford","Aerosmith","Aerosmith - Guitar (1971-80, 84-)"
"Michael Bruce","Alice Cooper","Alice Cooper - Guitar (1968-74)"
"Glen Buxton","Alice Cooper","Alice Cooper - Guitar (1968-74)"
"Alice Cooper","Alice Cooper","Alice Cooper - Vocals (1968-74)"
"Dennis Dunaway","Alice Cooper","Alice Cooper - Bass (1968-74)"
"Neal Smith","Alice Cooper","Alice Cooper - Drums (1968-74)"
"Duane Allman","Allman Brothers Band","Allman Brothers Band - Guitar (1969-71)"
"Gregg Allman","Allman Brothers Band","Allman Brothers Band - Vocals (1969-)"
"Dickey Betts","Allman Brothers Band","Allman Brothers Band - Guitar (1969-00)"
"Jonny Johanson","Allman Brothers Band","Allman Brothers Band - Drums (1969-80, 89-)"
"Berry Oakley","Allman Brothers Band","Allman Brothers Band - Bass (1969-72)"
"Butch Trucks","Allman Brothers Band","Allman Brothers Band - Drums (1969-)"
"Eric Burdon","Animals","Animals - Vocals (1962-84)"
"Chas Chandler","Animals","Animals - Bass (1962-66, 83-84)"
"Alan Price","Animals","Animals - Keyboard (1962-66, 83-84)"
"John Steel","Animals","Animals - Drums (1962-66, 83-84)"
"Hilton Valentine","Animals","Animals - Guitar (1962-66, 83-84)"
"Rick Danko","Band","Band - Vocals, Bass (1967-99)"
"Levon Helm","Band","Band - Vocals, Drums (1967-99)"
"Garth Hudson","Band","Band - Organ (1967-99)"
"Richard Manuel","Band","Band - Piano (1967-86)"
"Robbie Robertson","Band","Band - Guitar (1967-76)"
"Al Jardine","Beach Boys","Beach Boys - Vocals, Guitar (1961-)"
"Mike Love","Beach Boys","Beach Boys - Vocals (1961-)"
"Brian Wilson","Beach Boys","Beach Boys - Vocals, Bass (1961-)"
"Carl Wilson","Beach Boys","Beach Boys - Vocals, Guitar (1961-97)"
"Dennis Wilson","Beach Boys","Beach Boys - Vocals, Drums (1961-83)"
"Michael Diamond","Beastie Boys","Beastie Boys - Vocals, Drums (1981-)"
"Adam Horovitz","Beastie Boys","Beastie Boys - Vocals, Guitar (1983-)"
"Adam Yauch","Beastie Boys","Beastie Boys - Vocals, Bass (1981-12)"
"George Harrison","Beatles","Beatles - Guitar (1960-70)"
"John Lennon","Beatles","Beatles - Vocals, Guitar (1960-70)"
"Paul McCartney","Beatles","Beatles - Vocals, Bass (1960-70)"
"Ringo Starr","Beatles","Beatles - Drums (1962-70)"
"Barry Gibb","Bee Gees","Bee Gees - Vocals, Guitar (1958-03)"
"Maurice Gibb","Bee Gees","Bee Gees - Vocals, Bass (1958-03)"
"Robin Gibb","Bee Gees","Bee Gees - Vocals (1958-03)"
"Geezer Butler","Black Sabbath","Black Sabbath - Bass (1969-84, 97-)"
"Tony Iommi","Black Sabbath","Black Sabbath - Guitar (1969-)"
"Ozzy Osbourne","Black Sabbath","Black Sabbath - Vocals (1969-79, 97-)"
"Bill Ward","Black Sabbath","Black Sabbath - Drums (1969-80)"
"Clem Burke","Blondie","Blondie - Drums (1975-)"
"Jimmy Destri","Blondie","Blondie - Keyboard (1975-03)"
"Nigel Harrison","Blondie","Blondie - Bass (1978-82)"
"Debbie Harry","Blondie","Blondie - Vocals (1974-)"
"Frank Infante","Blondie","Blondie - Guitar (1978-82)"
"Chris Stein","Blondie","Blondie - Guitar (1974-)"
"Gary Valentine","Blondie","Blondie - Bass (1975-77)"
"Tommy Facenda","Blue Caps","Blue Caps - Vocals (1957-58)"
"Cliff Gallup","Blue Caps","Blue Caps - Guitar (1956-57)"
"Dickie Harrell","Blue Caps","Blue Caps - Drums (1956-58)"
"Bobby Jones","Blue Caps","Blue Caps - Bass (1957-58)"
"Johnny Meeks","Blue Caps","Blue Caps - Guitar (1957-58)"
"Jack Neal","Blue Caps","Blue Caps - Bass (1956-57)"
"Paul Peek","Blue Caps","Blue Caps - Vocals, Rhythm (1957-58)"
"Willie Williams","Blue Caps","Blue Caps - Guitar (1956-57)"
"Jon Bon Jovi","Bon Jovi","Bon Jovi - Vocals, Guitars (1983-present)"
"David Bryan","Bon Jovi","Bon Jovi - Keyboards (1983-present)"
"Richie Sambora","Bon Jovi","Bon Jovi - Guitar (1983-13)"
"Alec John Such","Bon Jovi","Bon Jovi - Bass (1983-94)"
"Tico Torres","Bon Jovi","Bon Jovi - Drums (1983-present)"
"Steve Cropper","Booker T & the MGs","Booker T & the MGs - Guitar (1962-72)"
"Donald Dunn","Booker T & the MGs","Booker T & the MGs - Bass (1964-72)"
"Al Jackson Jr","Booker T & the MGs","Booker T & the MGs - Drums (1962-72)"
"Booker T Jones","Booker T & the MGs","Booker T & the MGs - Organ (1962-72)"
"Lewie Steinberg","Booker T & the MGs","Booker T & the MGs - Bass (1962-64)"
"Richie Furay","Buffalo Springfield","Buffalo Springfield - Guitar, Vocals (1966-68)"
"Dewey Martin","Buffalo Springfield","Buffalo Springfield - Drums (1966-68)"
"Bruce Palmer","Buffalo Springfield","Buffalo Springfield - Bass (1966-68)"
"Stephen Stills","Buffalo Springfield","Buffalo Springfield - Vocals, Guitar (1966-68)"
"Neil Young","Buffalo Springfield","Buffalo Springfield - Guitar, Vocals (1966-68)"
"Gene Clark","Byrds","Byrds - Vocals (1964-67, 72-73)"
"Michael Clarke","Byrds","Byrds - Drums (1964-67, 72-73)"
"David Crosby","Byrds","Byrds - Guitar, Vocals (1964-67, 72-73)"
"Chris Hillman","Byrds","Byrds - Bass (1964-68, 72-73)"
"Roger McGuinn","Byrds","Byrds - Guitar (1964-91)"
"Bun E Carlos","Cheap Trick","Cheap Trick - Drums (1973-10)"
"Rick Nielsen","Cheap Trick","Cheap Trick - Guitar (1973-)"
"Tom Petersson","Cheap Trick","Cheap Trick - Bass (1973-)"
"Robin Zander","Cheap Trick","Cheap Trick - Vocals (1973-)"
"Peter Cetera","Chicago","Chicago - Bass, Vocals (1967-85)"
"Terry Kath","Chicago","Chicago - Guitar, Vocals (1967-78)"
"Robert Lamm","Chicago","Chicago - Keyboards, Vocals (1967-)"
"Lee Loughnane","Chicago","Chicago - Trumpet (1967-)"
"James Pankow","Chicago","Chicago - Trombone (1967-)"
"Walter Parazaider","Chicago","Chicago - Saxophones, Flute (1967-)"
"Danny Seraphine","Chicago","Chicago - Drums (1967-90)"
"Terry Chimes","Clash","Clash - Drums (1976-77)"
"Topper Headon","Clash","Clash - Drums (1977-82)"
"Mick Jones","Clash","Clash - Guitar, Vocals (1976-83)"
"Paul Simonon","Clash","Clash - Bass (1976-86)"
"Joe Strummer","Clash","Clash - Guitar, Vocals (1976-86)"
"Carl Gardner","Coasters","Coasters - Vocals (1955-05)"
"Cornell Gunter","Coasters","Coasters - Vocals (1958-61)"
"Billy Guy","Coasters","Coasters - Vocals (1955-73)"
"Will Jones","Coasters","Coasters - Vocals (1958-68)"
"Joey Ambrose","Comets","Comets - Saxophone (1953-55)"
"Franny Beecher","Comets","Comets - Guitar (1955-62)"
"Danny Cedrone","Comets","Comets - Guitar (1953-54)"
"Johnny Grande","Comets","Comets - Piano (1949-62)"
"Ralph Jones","Comets","Comets - Drums (1955-62)"
"Marshall Lytle","Comets","Comets - Bass (1953-55)"
"Rudy Pompilli","Comets","Comets - Saxophone (1955-62)"
"Al Rex","Comets","Comets - Bass (1949-62)"
"Rick Richards","Comets","Comets - Drums (1953-55)"
"Billy Williamson","Comets","Comets - Guitar (1949-62)"
"Ginger Baker","Cream","Cream - Drums (1966-68)"
"Jack Bruce","Cream","Cream - Vocals, Bass (1966-68)"
"Eric Clapton","Cream","Cream - Vocals, Guitar (1966-68)"
"Doug Clifford","Creedence Clearwater Revival","Creedence Clearwater Revival - Drums (1967-72)"
"Stu Cook","Creedence Clearwater Revival","Creedence Clearwater Revival - Bass (1967-72)"
"John Fogerty","Creedence Clearwater Revival","Creedence Clearwater Revival - Vocals, Guitar (1967-72)"
"Tom Fogerty","Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar (1967-71)"
"Jerry Allison","Crickets","Crickets - Drums (1957-)"
"Sonny Curtis","Crickets","Crickets - Guitar (1959)"
"Joe Mauldin","Crickets","Crickets - Bass (1957-)"
"Niki Sullivan","Crickets","Crickets - Guitar (1957)"
"David Crosby","Crosby, Stills & Nash","Crosby, Stills & Nash - Guitar, Vocals (1968-)"
"Graham Nash","Crosby, Stills & Nash","Crosby, Stills & Nash - Guitar, Vocals (1968-)"
"Stephen Stills","Crosby, Stills & Nash","Crosby, Stills & Nash - Guitar, Vocals (1968-)"
"Perry Bamonte","Cure","Cure - Keyboards, Guitar (1990-05)"
"Jason Cooper","Cure","Cure - Drums (1995-)"
"Michael Dempsey","Cure","Cure - Bass (1976-79)"
"Simon Gallup","Cure","Cure - Bass (1979-82, 85-)"
"Roger O'Donnell","Cure","Cure - Keyboards (1987-90, 95-05, 11-)"
"Robert Smith","Cure","Cure - Vocals, Guitar (1976-)"
"Porl Thompson","Cure","Cure - Guitar (1976-78, 84-93, 05-10)"
"Lol Tolhurst","Cure","Cure - Drums, Keyboards (1976-89, 2011)"
"Boris Williams","Cure","Cure - Drums (1984-94, 2001)"
"Dave Clark","Dave Clark Five","Dave Clark Five - Vocals, Drums (1958-70)"
"Lenny Davidson","Dave Clark Five","Dave Clark Five - Guitar (1958-70)"
"Rick Huxley","Dave Clark Five","Dave Clark Five - Bass (1958-70)"
"Denis Payton","Dave Clark Five","Dave Clark Five - Saxophone (1958-70)"
